code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
394702007,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease follow-up"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YL.00""}]"
394703002,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease annual review"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YM.00""}]"
40100001,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Bronchiolitis obliterans"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H312300""}]"
401184000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring by nurse"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YS.00""}]"
401185004,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring by doctor"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YT.00""}]"
413845009,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Chronic obstructive pulmonary disease accident and emergency attendance since last visit"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66Yd.00""}]"
414087000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Emergency chronic obstructive pulmonary disease admission since last appointment"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66Ye.00""}]"
45145000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""MacLeod's unilateral emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H32y200""}]"
4981000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Panlobular emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H321.00""}]"
52571006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Chronic tracheobronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H31y100""}]"
61937009,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Simple chronic bronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H310.00""}]"
63480004,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Chronic bronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H31..00""}]"
68328006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Centrilobular emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H322.00""}]"
7.13731E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring admin"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi..00""}]"
7.16241E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring 1st letter"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi0.00""}]"
7.16281E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring verb invite"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi3.00""}]"
716358000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Telehealth chronic obstructive pulmonary disease monitoring"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YB200""}]"
7.16901E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitor phone invite"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi4.00""}]"
7.17021E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring 2nd letter"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi1.00""}]"
7.17521E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring 3rd letter"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""9Oi2.00""}]"
723245007,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Number of chronic obstructive pulmonary disease exacerbations in past year"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66Yf.00""}]"
