medcodeid,term,snomedctconceptid,renal
354616019,acute rejection of renal transplant - grade i,236575009,1
354617011,acute rejection of renal transplant - grade ii,236576005,1
354618018,acute rejection of renal transplant - grade iii,236577001,1
354619014,chronic rejection of renal transplant,236578006,1
354623018,chronic rejection of renal transplant - grade 1,236579003,1
354624012,chronic rejection of renal transplant - grade ii,236580000,1
354627017,chronic rejection of renal transplant - grade iii,236581001,1
354628010,acute-on-chronic rejection of renal transplant,236582008,1
357219012,continuous ambulatory peritoneal dialysis,238318009,1
3579811000006112,peritoneal dialysis training,66402002,1
3605671000006116,"haemodialysis, maintenance at home",67970008,1
3605681000006118,"hemodialysis, maintenance at home",67970008,1
3612021000006116,"haemodialysis, supervision at home",68341005,1
3612031000006118,"hemodialysis, supervision at home",68341005,1
3628271000006115,venous catheterisation for renal dialysis,69380006,1
3628281000006117,venous catheterization for renal dialysis,69380006,1
3647021000006114,transplant of kidney,70536003,1
3647031000006112,kidney transplantation,70536003,1
3647051000006117,tx - renal transplantation,70536003,1
3647061000006115,kidney transplant,70536003,1
3647071000006110,tx - kidney transplantation,70536003,1
3653831000006114,structure of transplanted kidney,70948008,1
3653841000006116,transplanted kidney,70948008,1
3657891000006116,pd - peritoneal dialysis,71192002,1
366671000000118,interventions associated with transplantation of kidney,711446003,1
3691341000006115,peritoneal dialysis catheter maintenance,73257006,1
375841000000114,peritoneal dialysis nec,71192002,1
3798181000006111,arteriovenous anastomosis for renal dialysis,79827002,1
3798191000006114,arteriovenostomy for renal dialysis,79827002,1
3798201000006112,formation of arteriovenous fistula for kidney dialysis,79827002,1
3798211000006110,arteriovenous shunt for renal dialysis,79827002,1
380061000000118,interventions associated with transplantation of kidney nos,711446003,1
380101000000116,examination of recipient after kidney transplant,428645009,1
3885861000006116,complication of haemodialysis,85223007,1
3885871000006111,complication of hemodialysis,85223007,1
394639018,compensation for renal failure,265763003,1
394640016,renal dialysis,265764009,1
396706011,nephrotic syndrome with minimal change glomerulonephritis,266549004,1
39884018,calculous pyelonephritis,23754003,1
413415016,unexplained episode of renal transplant dysfunction,277010001,1
4218231000006113,kidney transplant evaluation,113127005,1
422992018,excision of rejected transplanted kidney,284348003,1
441151000006115,"accidental cut, puncture, perforation or haemorrhage during kidney dialysis",216878005,1
441161000006118,"accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion",269691005,1
446291000006111,accidental cut/puncture/perf/haem'ge during renal dialysis,216878005,1
453312018,peritoneal dialysis-associated peritonitis,276883000,1
4542501000006119,history of renal transplant,161665007,1
4543021000006113,history of renal dialysis,161693006,1
460644012,history of renal transplant,161665007,1
4669451000006113,exploration of kidney transplant,175948009,1
4694051000006116,removal of chronic ambulatory peritoneal dialysis catheter,180273006,1
4788371000006112,cnf - finnish congenital nephrotic syndrome,197601003,1
4788421000006117,nephrotic syndrome due to diabetes mellitus,197605007,1
4788511000006114,chronic glomerulonephritis associated with another disorder,197616000,1
4789231000006111,non-obstructive reflux-associated chronic pyelonephritis,197764002,1
4898631000006119,"accidental cut, puncture, perforation or hemorrhage during kidney dialysis",216878005,1
4929621000006114,hemodialysis nurse,224566003,1
4937911000006117,putting additive into peritoneal dialysis bag,225228006,1
4937921000006113,peritoneal dialysis bag procedure,225229003,1
4937931000006111,chronic peritoneal dialysis,225230008,1
4937941000006118,pd - chronic peritoneal dialysis,225230008,1
4937951000006116,stab peritoneal dialysis,225231007,1
4937961000006119,pd - stab peritoneal dialysis,225231007,1
4938571000006119,reversing haemodialysis lines,225281003,1
4938581000006116,reversing hemodialysis lines,225281003,1
4938591000006118,washing back through haemodialysis lines,225282005,1
4938601000006114,washing back through hemodialysis lines,225282005,1
4938611000006112,priming haemodialysis lines,225283000,1
4938621000006116,priming hemodialysis lines,225283000,1
4947991000006114,revision of arteriovenous shunt for renal dialysis,225892009,1
501594013,transplantation of kidney,70536003,1
5052661000006111,intermittent haemodialysis,233575001,1
5052671000006116,intermittent hemodialysis,233575001,1
5052681000006118,intermittent haemodialysis with sequential ultrafiltration,233576000,1
5052691000006115,intermittent hemodialysis with sequential ultrafiltration,233576000,1
5052701000006115,intermittent haemodialysis with continuous ultrafiltration,233577009,1
5052711000006117,intermittent hemodialysis with continuous ultrafiltration,233577009,1
5052721000006113,continuous haemodialysis,233578004,1
5052731000006111,continuous hemodialysis,233578004,1
5052741000006118,continuous arteriovenous haemodialysis,233579007,1
5052751000006116,cavd - continuous arteriovenous hemodialysis,233579007,1
5052761000006119,continuous arteriovenous hemodialysis filtration,233579007,1
5052771000006114,continuous arteriovenous haemodialysis filtration,233579007,1
5052781000006112,cavd - continuous arteriovenous haemodialysis,233579007,1
5052791000006110,continuous arteriovenous hemodialysis,233579007,1
5052801000006111,continuous venovenous haemodialysis,233580005,1
5052811000006114,continuous venovenous hemodialysis,233580005,1
5052821000006118,cvvhd - continuous venovenous haemodialysis,233580005,1
5052831000006115,continuous venovenous haemodialysis filtration,233580005,1
5052841000006113,cvvd - continuous venovenous haemodialysis,233580005,1
5052851000006110,continuous venovenous hemodialysis filtration,233580005,1
5052861000006112,cvvd - continuous venovenous hemodialysis,233580005,1
5052871000006117,cvvhd - continuous venovenous hemodialysis,233580005,1
5093331000006111,steroid-responsive nephrotic syndrome,236380004,1
5093341000006118,ssns - steroid-sensitive nephrotic syndrome,236380004,1
5093351000006116,steroid-resistant nephrotic syndrome,236381000,1
5093361000006119,steroid-unresponsive nephrotic syndrome,236381000,1
5093371000006114,srns - steroid-resistant nephrotic syndrome,236381000,1
5093381000006112,steroid-dependent nephrotic syndrome,236382007,1
5093391000006110,sdns - steroid-dependent nephrotic syndrome,236382007,1
5093451000006111,wilms' tumor and nephrotic syndrome with pseudohermaphroditism,236385009,1
5094171000006114,end stage renal failure with renal transplant,236436003,1
5095551000006113,acute disorder of haemodialysis,236538004,1
5095561000006110,hd - acute complications of haemodialysis,236538004,1
5095571000006115,hd - acute complications of hemodialysis,236538004,1
5095581000006117,acute disorder of hemodialysis,236538004,1
5095881000006119,peritoneal dialysis catheter exit site infection,236557008,1
5095891000006116,peritoneal dialysis cannula exit site infection,236557008,1
5095901000006117,peritoneal dialysis catheter tunnel infection,236558003,1
5095911000006119,peritoneal dialysis cannula tunnel infection,236558003,1
5095941000006115,disorder of peritoneal dialysis catheter,236561002,1
5095951000006118,disorder of peritoneal dialysis cannula,236561002,1
5095961000006116,obstruction of peritoneal dialysis catheter,236562009,1
5095971000006111,blockage of peritoneal dialysis catheter,236562009,1
5095981000006114,migration of peritoneal dialysis catheter,236563004,1
5095991000006112,omental wrapping around peritoneal dialysis catheter,236564005,1
5096001000006113,poor drainage of peritoneal dialysis catheter,236565006,1
5096011000006111,extrusion of peritoneal dialysis catheter cuff,236566007,1
5096021000006115,misplacement of acute peritoneal dialysis catheter,236567003,1
5096031000006117,primary non-function of renal transplant,236569000,1
5096051000006112,hyperacute rejection of renal transplant,236571000,1
5096231000006110,failed renal transplant,236583003,1
5096241000006117,perfusion injury of renal transplant,236584009,1
5120111000006110,renewal of chronic ambulatory peritoneal dialysis catheter,238314006,1
5120121000006119,adjustment of chronic ambulatory peritoneal dialysis catheter,238315007,1
5120131000006116,aspiration of chronic ambulatory peritoneal dialysis catheter,238316008,1
5120141000006114,flushing of chronic ambulatory peritoneal dialysis catheter,238317004,1
5120171000006118,capd - continuous ambulatory peritoneal dialysis,238318009,1
5120181000006115,continuous cycling peritoneal dialysis,238319001,1
5120191000006117,ccpd - continuous cycling peritoneal dialysis,238319001,1
