code,coding_system,description,entity,list_name,upload_date
E114600,Read,Bipolar affective disorder; currently manic; full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E114z00,Read,Bipolar affective disorder; currently manic; NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E115.00,Read,Bipolar affective disorder; currently depressed,diagnostic,929 - res178: Psychosis,2021-03-14
E115000,Read,Bipolar affective disorder; currently depressed; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E115100,Read,Bipolar affective disorder; currently depressed; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E115.11,Read,Manic-depressive - now depressed,diagnostic,929 - res178: Psychosis,2021-03-14
E115200,Read,Bipolar affective disorder; currently depressed; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E115300,Read,Bipolar affect disord; now depressed; severe; no psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E115400,Read,Bipolar affect disord; now depressed; severe with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E115500,Read,Bipolar affect disord; now depressed; part/unspec remission,diagnostic,929 - res178: Psychosis,2021-03-14
E115600,Read,Bipolar affective disorder; now depressed; in full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E115z00,Read,Bipolar affective disorder; currently depressed; NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E116.00,Read,Mixed bipolar affective disorder,diagnostic,929 - res178: Psychosis,2021-03-14
E116000,Read,Mixed bipolar affective disorder; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E116100,Read,Mixed bipolar affective disorder; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E116200,Read,Mixed bipolar affective disorder; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E116300,Read,Mixed bipolar affective disorder; severe; without psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E116400,Read,Mixed bipolar affective disorder; severe; with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E116500,Read,Mixed bipolar affective disorder; partial/unspec remission,diagnostic,929 - res178: Psychosis,2021-03-14
E116600,Read,Mixed bipolar affective disorder; in full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E116z00,Read,Mixed bipolar affective disorder; NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E117.00,Read,Unspecified bipolar affective disorder,diagnostic,929 - res178: Psychosis,2021-03-14
E117000,Read,Unspecified bipolar affective disorder; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E117100,Read,Unspecified bipolar affective disorder; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E117200,Read,Unspecified bipolar affective disorder; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E117300,Read,Unspecified bipolar affective disorder; severe; no psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E117400,Read,Unspecified bipolar affective disorder;severe with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E117500,Read,Unspecified bipolar affect disord; partial/unspec remission,diagnostic,929 - res178: Psychosis,2021-03-14
E117600,Read,Unspecified bipolar affective disorder; in full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E117z00,Read,Unspecified bipolar affective disorder; NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E11y.00,Read,Other and unspecified manic-depressive psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E11y000,Read,Unspecified manic-depressive psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E11y100,Read,Atypical manic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
E11y200,Read,Atypical depressive disorder,diagnostic,929 - res178: Psychosis,2021-03-14
E11y300,Read,Other mixed manic-depressive psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E11yz00,Read,Other and unspecified manic-depressive psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E11z.00,Read,Other and unspecified affective psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E11z000,Read,Unspecified affective psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E11zz00,Read,Other affective psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E12..00,Read,Paranoid states,diagnostic,929 - res178: Psychosis,2021-03-14
E120.00,Read,Simple paranoid state,diagnostic,929 - res178: Psychosis,2021-03-14
E121.00,Read,Chronic paranoid psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E122.00,Read,Paraphrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E123.00,Read,Shared paranoid disorder,diagnostic,929 - res178: Psychosis,2021-03-14
E123.11,Read,Folie a deux,diagnostic,929 - res178: Psychosis,2021-03-14
E12y.00,Read,Other paranoid states,diagnostic,929 - res178: Psychosis,2021-03-14
E12y000,Read,Paranoia querulans,diagnostic,929 - res178: Psychosis,2021-03-14
E12yz00,Read,Other paranoid states NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E12z.00,Read,Paranoid psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E13..00,Read,Other nonorganic psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E130.00,Read,Reactive depressive psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E130.11,Read,Psychotic reactive depression,diagnostic,929 - res178: Psychosis,2021-03-14
E131.00,Read,Acute hysterical psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E133.00,Read,Acute paranoid reaction,diagnostic,929 - res178: Psychosis,2021-03-14
E134.00,Read,Psychogenic paranoid psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E13y.00,Read,Other reactive psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E13y000,Read,Psychogenic stupor,diagnostic,929 - res178: Psychosis,2021-03-14
