code,coding_system,description,entity,list_name,upload_date
40277,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40407,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40514,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40515,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40517,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40726,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4075,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40764,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40815,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40817,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40892,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
40917,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
41033,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
41062,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
41299,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
41314,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
41528,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
418,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42107,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42387,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42499,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42600,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42660,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
42803,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4297,CPRD_product_code,Nefazodone hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43203,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43334,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43518,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43519,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4352,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43673,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
43968,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
44861,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
44936,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
44937,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
44944,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45223,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45224,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45247,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45286,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45304,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45316,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45329,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4554,CPRD_product_code,Nefazodone hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45664,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45806,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45818,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45915,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
45959,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
46926,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
46977,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
470,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
476,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4770,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
48026,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
48045,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
48199,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
48220,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
488,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
4907,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
49165,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
49511,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
49519,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
50,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
50081,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
50934,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
51280,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
513,CPRD_product_code,Citalopram hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
51361,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
51383,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
51699,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52074,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52100,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52354,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52408,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52516,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52607,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
527,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52716,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
52824,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
53326,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
53394,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
53787,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
54081,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
