medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,depression,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,depression_2024_06,JKQ_2024_06
"294832014",10133,"E112z","E112z00","36923009","61590015","Single major depressive episode NOS",1,9328,"E112z","E112z00","36923009","61590015","Single major depressive episode NOS",1,1
"3094951000006111",9,"^ESCTMA309495","","36923009","61592011","Major depressive disorder, single episode",1,7,"^ESCTMA309495","","36923009","61592011","Major depressive disorder, single episode",1,1
"6337491000006116",2603,"^ESCTMA633749","","370143000","1208903011","Major depressive disorder",1,1795,"^ESCTMA633749","","370143000","1208903011","Major depressive disorder",1,1
"6337501000006112",21,"^ESCTMA633750","","370143000","1228731019","Major depression",1,20,"^ESCTMA633750","","370143000","1228731019","Major depression",1,1
"1488626018",603518,"1B1U","1B1U.00","394924000","1488626018","Symptoms of depression",1,577267,"1B1U","1B1U.00","394924000","1488626018","Symptoms of depression",1,1
"1494612017",121217,"1B1U-1","1B1U.11","394924000","1494612017","Depressive symptoms",1,117296,"1B1U-1","1B1U.11","394924000","1494612017","Depressive symptoms",1,1
"882831000006113",4882,"Eu322-99","Eu32299","397701000000102","882831000006113","Severe depression",1,4847,"Eu322-99","Eu32299","397701000000102","882831000006113","Severe depression",1,1
"1773563015",8713,"8BK0","8BK0.00","401174001","1773563015","Depression management programme",1,7932,"8BK0","8BK0.00","401174001","1773563015","Depression management programme",1,1
"424561000006110",449,"Eu3y1-1","Eu3y111","40568001","67653019","[X]Recurrent brief depressive episodes",1,433,"Eu3y1-1","Eu3y111","40568001","67653019","[X]Recurrent brief depressive episodes",1,1
"3153071000006116",1281,"^ESCTRE315307","","40568001","67653019","Recurrent brief depressive disorder",1,946,"^ESCTRE315307","","40568001","67653019","Recurrent brief depressive disorder",1,1
"2474715017",105754,"9HA0","9HA0.00","413169006","2474715017","On depression register",1,100062,"9HA0","9HA0.00","413169006","2474715017","On depression register",1,1
"2534096013",254988,"9H90","9H90.00","413972000","2534096013","Depression annual review",1,232504,"9H90","9H90.00","413972000","2534096013","Depression annual review",1,1
"2534091015",4783447,"9H92","9H92.00","413973005","2534091015","Depression interim review",1,4267573,"9H92","9H92.00","413973005","2534091015","Depression interim review",1,1
"2534092010",1778280,"9H91","9H91.00","413974004","2534092010","Depression medication review",1,1608132,"9H91","9H91.00","413974004","2534092010","Depression medication review",1,1
"2533375017",98813,"8CAa","8CAa.00","415044007","2533375017","Patient given advice about management of depression",1,93068,"8CAa","8CAa.00","415044007","2533375017","Patient given advice about management of depression",1,1
"3190221000006112",115,"^ESCTMA319022","","42810003","71441018","Major depression in remission",1,95,"^ESCTMA319022","","42810003","71441018","Major depression in remission",1,1
"882811000006119",5770,"Eu320-99","Eu32099","430421000000104","882811000006119","Mild depression",1,5740,"Eu320-99","Eu32099","430421000000104","882811000006119","Mild depression",1,1
"882821000006110",16339,"Eu321-99","Eu32199","465441000000108","882821000006110","Moderate depression",1,16204,"Eu321-99","Eu32199","465441000000108","882821000006110","Moderate depression",1,1
"882671000006112",336343,"E2B-98","E2B..98","609311000000100","882671000006112","Depression",1,323323,"E2B-98","E2B..98","609311000000100","882671000006112","Depression",1,1
"882681000006110",222641,"E2B-99","E2B..99","609311000000100","882681000006110","Depression NOS",1,216699,"E2B-99","E2B..99","609311000000100","882681000006110","Depression NOS",1,1
"3578861000006116",263,"^ESCTRE357886","","66344007","110186015","Recurrent major depressive disorder",1,193,"^ESCTRE357886","","66344007","110186015","Recurrent major depressive disorder",1,1
"296198011",3649,"Eu334","Eu33400","698957003","2981573016","[X]Recurrent depressive disorder, currently in remission",1,3453,"Eu334","Eu33400","698957003","2981573016","[X]Recurrent depressive disorder, currently in remission",1,1
