code,coding_system,description,entity,list_name,upload_date
Eu31600,Read,[x]bipolar affective disorder; current episode mixed,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31700,Read,[x]bipolar affective disorder; currently in remission,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31800,Read,[x]bipolar affective disorder type i,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31900,Read,[x]bipolar affective disorder type ii,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31911,Read,[x]bipolar ii disorder,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31y00,Read,[x]other bipolar affective disorders,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31y11,Read,[x]bipolar ii disorder,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31y12,Read,[x]recurrent manic episodes,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu31z00,Read,[x]bipolar affective disorder; unspecified,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu33213,Read,[x]Manic-depress psychosis; depressed; no psychotic symptoms,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
Eu33312,Read,[x]Manic-depress psychosis; depressed type+psychotic symptoms,diagnostic,1065 - res201: Bipolar disorder,2023-02-26
